4.91946;9.13807;12.6371;0
5.32408;9.78226;12.9429;0.01
5.76151;10.4627;13.3121;0.02
6.23363;11.1773;13.752;0.03
6.74217;11.923;14.271;0.04
7.28851;12.6947;14.8775;0.05
7.87353;13.4854;15.5804;0.06
8.49741;14.2853;16.3883;0.07
9.15936;15.0818;17.3093;0.08
9.85729;15.859;18.3501;0.09
10.5874;16.5971;19.5155;0.1
11.344;17.2725;20.8068;0.11
12.1186;17.8578;22.2214;0.12
12.9002;18.3229;23.7506;0.13
13.6744;18.6352;25.379;0.14
14.4237;18.7622;27.0829;0.15
15.1277;18.674;28.8303;0.16
15.7634;18.3456;30.5809;0.17
16.3066;17.7612;32.2875;0.18
16.7333;16.9168;33.8987;0.19
17.0216;15.8227;35.3626;0.2
17.1535;14.5045;36.6313;0.21
17.1169;13.0021;37.6656;0.22
16.9069;11.3664;38.439;0.23
16.5265;9.65544;38.9401;0.24
15.986;7.92827;39.1729;0.25
15.3025;6.24001;39.1556;0.26
14.4979;4.63747;38.9176;0.27
13.5969;3.15644;38.4953;0.28
12.6254;1.82062;37.9282;0.29
11.6083;0.64224;37.255;0.3
10.5688;-0.376373;36.5114;0.31
9.52689;-1.24063;35.728;0.32
8.49961;-1.96136;34.9295;0.33
7.50039;-2.55273;34.1353;0.34
6.53953;-3.0305;33.3593;0.35
5.62438;-3.41071;32.6107;0.36
4.7598;-3.70881;31.8955;0.37
3.94854;-3.93909;31.2165;0.38
3.19164;-4.11437;30.5745;0.39
2.48885;-4.24594;29.9691;0.4
1.83886;-4.34353;29.3986;0.41
1.23965;-4.41546;28.8609;0.42
0.688661;-4.46876;28.3536;0.43
0.182997;-4.50931;27.8744;0.44
-0.280449;-4.54201;27.4206;0.45
-0.704882;-4.57093;26.9902;0.46
-1.09352;-4.59939;26.581;0.47
-1.44956;-4.63017;26.1914;0.48
-1.77607;-4.66551;25.8196;0.49
-2.07604;-4.70725;25.4644;0.5
-2.3523;-4.7569;25.1247;0.51
-2.60754;-4.81567;24.7996;0.52
-2.84429;-4.88455;24.4886;0.53
-3.06491;-4.96434;24.191;0.54
-3.27161;-5.05567;23.9067;0.55
-3.46645;-5.15905;23.6354;0.56
-3.65132;-5.27489;23.3772;0.57
-3.82799;-5.40349;23.1321;0.58
-3.99807;-5.54509;22.9005;0.59
-4.16303;-5.69985;22.6827;0.6
-4.32425;-5.86788;22.4791;0.61
-4.48294;-6.04922;22.2904;0.62
-4.64024;-6.24385;22.1172;0.63
-4.79716;-6.45169;21.9603;0.64
-4.95459;-6.67262;21.8205;0.65
-5.11334;-6.9064;21.6989;0.66
-5.27412;-7.15273;21.5963;0.67
-5.43753;-7.41122;21.5141;0.68
-5.60409;-7.68136;21.4534;0.69
-5.77422;-7.96251;21.4154;0.7
-5.94822;-8.25388;21.4016;0.71
-6.12633;-8.55454;21.4134;0.72
-6.30868;-8.86333;21.4523;0.73
-6.49527;-9.17892;21.5196;0.74
-6.68602;-9.49973;21.617;0.75
-6.88075;-9.82392;21.746;0.76
-7.07913;-10.1494;21.9079;0.77
-7.28075;-10.4738;22.1041;0.78
-7.48506;-10.7944;22.3358;0.79
-7.69137;-11.1082;22.604;0.8
-7.89889;-11.4119;22.9094;0.81
-8.1067;-11.702;23.2526;0.82
-8.31372;-11.9745;23.6336;0.83
-8.51877;-12.2253;24.0521;0.84
-8.72054;-12.4502;24.5071;0.85
-8.9176;-12.6447;24.9971;0.86
-9.10843;-12.8043;25.5202;0.87
-9.2914;-12.9248;26.0734;0.88
-9.46479;-13.0018;26.6532;0.89
-9.62685;-13.0314;27.2554;0.9
-9.77579;-13.0101;27.8748;0.91
-9.90978;-12.935;28.5058;0.92
-10.027;-12.8039;29.1419;0.93
-10.1258;-12.6154;29.7763;0.94
-10.2045;-12.3691;30.4015;0.95
-10.2615;-12.0654;31.01;0.96
-10.2954;-11.7062;31.594;0.97
-10.3051;-11.2942;32.1461;0.98
-10.2897;-10.8332;32.6589;0.99
-10.2482;-10.3281;33.1258;1
-10.1805;-9.78461;33.5408;1.01
-10.0862;-9.20927;33.8988;1.02
-9.96572;-8.60915;34.1958;1.03
-9.81942;-7.99168;34.4288;1.04
-9.6482;-7.36443;34.5962;1.05
-9.45322;-6.73493;34.6975;1.06
-9.23593;-6.1104;34.7333;1.07
-8.99808;-5.49763;34.7054;1.08
-8.74164;-4.90275;34.6163;1.09
-8.46879;-4.33117;34.4696;1.1
-8.18186;-3.78744;34.2695;1.11
-7.8833;-3.27526;34.0205;1.12
-7.5756;-2.79741;33.7276;1.13
